date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:46:54	94913/94913	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202026%2013:46:55%20GMT	https://mesh3d.gallery/the-state-of-the-gallery	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/the-state-of-the-gallery.html	(from )
08:46:55	894/894	---MCZ	200	added ('OK')	text/plain	date:Mon,%2013%20Jul%202026%2013:46:57%20GMT	https://mesh3d.gallery/robots.txt		(from )
08:46:56	23108/23108	---MCZ	200	added ('OK')	font/woff2	etag:W/%225a44-19f5aea8584%22	https://mesh3d.gallery/_next/static/media/797e433ab948586e-s.p.08e28id.o-okb.woff2?dpl=fdfaa32c1876d9c503f89944e29fe0bed1326ad2	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/_next/static/media/797e433ab948586e-s.p.08e28id.o-okbde26.woff2	(from https://mesh3d.gallery/the-state-of-the-gallery)
08:46:56	61916/61916	---MCZ	200	added ('OK')	font/woff2	etag:W/%22f1dc-19f5aea8577%22	https://mesh3d.gallery/_next/static/media/OverusedGrotesk_Roman-s.p.056lg4ejrg7tz.woff2?dpl=fdfaa32c1876d9c503f89944e29fe0bed1326ad2	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/_next/static/media/OverusedGrotesk_Roman-s.p.056lg4ejrg7tzde26.woff2	(from https://mesh3d.gallery/the-state-of-the-gallery)
08:46:56	29288/29288	---MCZ	200	added ('OK')	font/woff2	etag:W/%227268-19f5aea8577%22	https://mesh3d.gallery/_next/static/media/caa3a2e1cccd8315-s.p.09~u27dqhyhd6.woff2?dpl=fdfaa32c1876d9c503f89944e29fe0bed1326ad2	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/_next/static/media/caa3a2e1cccd8315-s.p.09_u27dqhyhd6de26.woff2	(from https://mesh3d.gallery/the-state-of-the-gallery)
08:46:57	4168/4168	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221048-19f5ae9f36e%22	https://mesh3d.gallery/logo/logotype.svg?dpl=fdfaa32c1876d9c503f89944e29fe0bed1326ad2	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/logo/logotypede26.svg	(from https://mesh3d.gallery/the-state-of-the-gallery)
08:46:57	4802/4802	---MCZ	200	added ('OK')	text/css	etag:W/%2212c2-19f5aeaab0a%22	https://mesh3d.gallery/_next/static/chunks/0bq9li6_0w4m~.css?dpl=fdfaa32c1876d9c503f89944e29fe0bed1326ad2	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/_next/static/chunks/0bq9li6_0w4m_de26.css	(from https://mesh3d.gallery/the-state-of-the-gallery)
08:46:57	143740/143740	---MCZ	200	added ('OK')	text/css	etag:W/%222317c-19f5aeaab09%22	https://mesh3d.gallery/_next/static/chunks/07.g.yque53c6.css?dpl=fdfaa32c1876d9c503f89944e29fe0bed1326ad2	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/_next/static/chunks/07.g.yque53c6de26.css	(from https://mesh3d.gallery/the-state-of-the-gallery)
08:46:58	17635/17635	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244e3-19f5aeaab09%22	https://mesh3d.gallery/_next/static/chunks/02biwlcm.o7qy.js?dpl=fdfaa32c1876d9c503f89944e29fe0bed1326ad2	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/_next/static/chunks/02biwlcm.o7qyde26.js	(from https://mesh3d.gallery/the-state-of-the-gallery)
08:46:58	57115/57115	---MCZ	200	added ('OK')	application/javascript	etag:W/%22df1b-19f5aeaab04%22	https://mesh3d.gallery/_next/static/chunks/01g~vpe6sy6fu.js?dpl=fdfaa32c1876d9c503f89944e29fe0bed1326ad2	I:/Mi%20unidad/TRABAJOS.SOMBRA/Clonacion.WEB.DHARMA/WEB.GEEKSOFT/mesh3d.gallery/_next/static/chunks/01g_vpe6sy6fude26.js	(from https://mesh3d.gallery/the-state-of-the-gallery)
